record_id,gender,gaming_platform,age_group,game_genre,primary_game,daily_gaming_hours,sleep_status,sleep_hours,sleep_disruption_frequency,mood_swing_frequency,gaming_addiction_risk_level,academic_work_performance,grades_gpa,work_productivity_score,exercise_hours_weekly,social_isolation_score,eye_strain,back_neck_pain,monthly_game_spending_usd
GD0032,Male,Mobile,13-18,"Mobile Games","Clash of Clans",5.1,Fair,6.4,Always,Often,Low,Average,3.02,,8.9,2,FALSE,FALSE,36.53
GD0033,Male,Multi-platform,19-24,MMO,"Final Fantasy XIV",5.9,Fair,6.8,Rarely,Never,Low,Poor,3.39,6,7.5,3,FALSE,TRUE,147.6
GD0034,Male,Multi-platform,19-24,"Battle Royale",PUBG,5.2,Fair,5.6,Often,Rarely,Low,Average,3.03,8,7.9,5,TRUE,FALSE,19.91
GD0035,Male,PC,13-18,FPS,CS:GO,6.6,Poor,4.1,Often,Sometimes,High,Poor,3.98,,5.5,5,FALSE,FALSE,93.68
GD0036,Female,Mobile,19-24,"Mobile Games","PUBG Mobile",4.6,Poor,5.4,Never,Sometimes,Low,Average,1.15,6,8.4,4,TRUE,FALSE,80.92
GD0037,Male,Mobile,19-24,MOBA,"Mobile Legends",2.8,Good,8.3,Never,Never,Low,Excellent,3.54,9,8.3,3,FALSE,FALSE,45.96
GD0038,Male,PC,19-24,Strategy,"StarCraft II",7.6,Poor,4.2,Never,Never,Moderate,Poor,2.7,9,5.2,6,TRUE,TRUE,123.45
GD0039,Female,PC,13-18,MOBA,"League of Legends",2.3,Good,8.4,Often,Daily,Low,Average,1.22,,7.2,2,FALSE,FALSE,42.43
GD0040,Male,Multi-platform,19-24,RPG,"Elden Ring",4.4,Fair,6.4,Often,Rarely,Low,Excellent,1.38,2,9.1,4,FALSE,FALSE,26.63
GD0041,Male,Multi-platform,31+,MMO,"Elder Scrolls Online",3.1,Good,8.4,Never,Rarely,Low,Average,,8,8.3,1,FALSE,FALSE,47.69
GD0042,Male,PC,13-18,FPS,Valorant,8,"Very Poor",3.8,Sometimes,Sometimes,Severe,Failing,3.22,,6,8,TRUE,TRUE,61.37
GD0043,Male,PC,19-24,Strategy,"StarCraft II",4.2,Poor,5.4,Sometimes,Often,Low,Average,2.21,7,7.1,1,FALSE,FALSE,9.18
GD0044,Male,Multi-platform,19-24,"Battle Royale",PUBG,7.9,"Very Poor",3.5,Never,Rarely,High,"Below Average",2.25,3,7,6,FALSE,TRUE,81.23
GD0045,Female,Mobile,13-18,"Mobile Games","PUBG Mobile",3.9,Poor,5.1,Sometimes,Rarely,Low,Good,2.88,,7.8,2,FALSE,FALSE,17.43
GD0046,Female,PC,25-30,Strategy,"Age of Empires",6.2,Fair,5.7,Never,Daily,Moderate,Average,,5,5.5,3,TRUE,TRUE,48.84
GD0047,Male,Multi-platform,19-24,MMO,"Final Fantasy XIV",3.4,Good,7.1,Sometimes,Sometimes,Low,"Below Average",1.19,7,7.8,1,FALSE,FALSE,23.33
GD0048,Female,Multi-platform,25-30,FPS,"Call of Duty",6.1,Fair,6.7,Often,Daily,Moderate,Good,,5,7.7,2,TRUE,TRUE,110.74
GD0049,Female,Multi-platform,13-18,RPG,Skyrim,5.9,Poor,5.4,Often,Never,Low,Average,2.11,,6,3,FALSE,FALSE,125.89
GD0050,Female,PC,13-18,MMO,"World of Warcraft",5.1,Fair,6.5,Never,Sometimes,Low,"Below Average",3.87,,6.2,2,FALSE,FALSE,39.9
GD0051,Male,PC,19-24,Strategy,"Age of Empires",7,Poor,4.7,Sometimes,Often,Moderate,Poor,,5,8,4,FALSE,FALSE,132.68
GD0052,Male,Multi-platform,19-24,RPG,Skyrim,3.5,Good,7.8,Never,Rarely,Low,Good,1.39,3,9.8,2,FALSE,FALSE,40.35
GD0053,Male,Multi-platform,19-24,FPS,"Call of Duty",11.4,Poor,4.3,Never,Never,High,Failing,2.02,5,5,6,TRUE,TRUE,433.8
GD0054,Female,Multi-platform,19-24,"Mobile Games","Genshin Impact",0.5,Good,7.2,Sometimes,Rarely,Low,Excellent,3.39,4,10,1,FALSE,FALSE,9.04
GD0055,Female,PC,19-24,FPS,CS:GO,5.8,Fair,6.7,Rarely,Sometimes,Low,Average,2.3,3,6.4,3,TRUE,FALSE,114.52
GD0056,Male,Mobile,19-24,MOBA,"Mobile Legends",1.7,Good,8.1,Sometimes,Daily,Low,Excellent,1.41,9,9.3,1,FALSE,FALSE,47.53
GD0057,Male,PC,19-24,Strategy,"StarCraft II",6,Fair,6.9,Always,Sometimes,Moderate,Good,,10,8.2,4,FALSE,TRUE,133.31
GD0058,Male,Multi-platform,25-30,RPG,"Elden Ring",7.1,Poor,5.2,Sometimes,Sometimes,Moderate,Average,,1,7.2,4,FALSE,TRUE,136.21
GD0059,Male,Multi-platform,19-24,"Battle Royale",Warzone,0.6,Good,7.2,Rarely,Sometimes,Low,Good,,4,8.8,1,FALSE,FALSE,39.51
GD0060,Female,Mobile,31+,"Mobile Games","PUBG Mobile",7.2,Poor,4.2,Rarely,Often,Low,"Below Average",,9,7.6,5,TRUE,TRUE,96.57
GD0061,Female,Multi-platform,19-24,FPS,"Call of Duty",5.6,Poor,5.3,Never,Sometimes,Moderate,Average,2.08,4,7.7,3,FALSE,TRUE,144.26
GD0062,Male,Multi-platform,13-18,RPG,"Cyberpunk 2077",8.9,Poor,4.2,Sometimes,Never,Severe,"Below Average",3.91,,3.6,5,TRUE,TRUE,417.13
GD0063,Other,Mobile,13-18,MOBA,"Mobile Legends",12.4,Poor,4.7,Often,Daily,High,"Below Average",2,,4.3,7,TRUE,TRUE,359.05
GD0064,Female,PC,19-24,FPS,Valorant,6.6,"Very Poor",3.3,Often,Sometimes,High,"Below Average",3.09,10,8,4,TRUE,TRUE,144.41
GD0065,Female,PC,25-30,Strategy,"StarCraft II",4.9,Fair,5.7,Often,Rarely,Low,Poor,,5,8.8,3,TRUE,FALSE,60.06
GD0066,Male,Mobile,13-18,"Mobile Games","Candy Crush",4.4,Fair,6.6,Often,Daily,Low,"Below Average",1.4,,8.3,1,FALSE,FALSE,45.33
GD0067,Female,Multi-platform,19-24,RPG,Skyrim,4.7,Poor,5.1,Sometimes,Never,Low,Average,,8,7,4,TRUE,FALSE,108
GD0068,Male,Multi-platform,19-24,MMO,"Elder Scrolls Online",7,"Very Poor",4,Sometimes,Daily,Moderate,Poor,3.54,2,5.8,5,TRUE,TRUE,119.22
GD0069,Female,Multi-platform,19-24,"Mobile Games","Genshin Impact",6.2,Fair,5.8,Never,Rarely,Moderate,Average,3.51,2,6.7,5,TRUE,TRUE,42.1
GD0070,Female,PC,13-18,MMO,"World of Warcraft",15.1,Poor,4.8,Often,Often,High,"Below Average",3.05,,4.2,10,TRUE,TRUE,209.75
GD0071,Male,Multi-platform,25-30,MMO,"Elder Scrolls Online",4.8,Fair,6.8,Never,Never,Low,Average,,7,5.8,2,FALSE,FALSE,132.26
GD0072,Male,Mobile,19-24,"Mobile Games","Clash of Clans",2.6,Good,8.8,Never,Sometimes,Low,Good,,5,8.9,1,FALSE,FALSE,7.76
GD0073,Female,Multi-platform,13-18,"Mobile Games","Genshin Impact",4,Fair,5.8,Sometimes,Sometimes,Low,Good,3.1,,6.3,2,FALSE,FALSE,18.88
GD0074,Male,Multi-platform,19-24,MMO,"Final Fantasy XIV",5,Fair,6.9,Sometimes,Never,Low,Excellent,1.55,9,7.7,4,FALSE,FALSE,85.67
GD0075,Male,Multi-platform,19-24,"Battle Royale",PUBG,3.5,Good,8,Often,Rarely,Low,Average,1.87,4,6.7,2,FALSE,FALSE,39.95
GD0076,Male,Multi-platform,31+,"Battle Royale","Apex Legends",5.2,Fair,6.9,Often,Daily,Low,Good,,3,9,6,TRUE,FALSE,73.02
GD0077,Male,Multi-platform,13-18,Strategy,"Civilization VI",9.4,"Very Poor",3.1,Often,Never,Severe,Poor,1.01,,4.7,6,TRUE,TRUE,364.97
GD0078,Female,PC,13-18,MOBA,"League of Legends",5.7,Fair,6.8,Sometimes,Sometimes,Low,Average,2.48,,8.4,4,TRUE,TRUE,136.3
GD0079,Other,PC,19-24,MOBA,"League of Legends",8.3,Poor,5.5,Always,Never,Moderate,Average,1.17,8,4,7,FALSE,FALSE,82.29
GD0080,Female,Multi-platform,13-18,"Mobile Games","Genshin Impact",9,Fair,5.8,Never,Often,Severe,Poor,2.32,,3.8,5,TRUE,TRUE,192.38
GD0081,Female,Multi-platform,19-24,"Mobile Games","Genshin Impact",7.2,"Very Poor",3.6,Rarely,Daily,Moderate,Poor,1.98,1,6.5,4,TRUE,FALSE,32.86
GD0082,Female,PC,13-18,MMO,"World of Warcraft",10.8,Poor,5,Rarely,Often,Severe,Poor,3.56,,2.9,7,TRUE,TRUE,462.43
GD0083,Male,Multi-platform,13-18,RPG,"Elden Ring",9.3,Poor,5.5,Rarely,Sometimes,High,Poor,1.42,,6.3,6,FALSE,TRUE,404.23
GD0084,Male,Multi-platform,19-24,RPG,"Elden Ring",6.4,Fair,6.8,Rarely,Never,Moderate,Average,2.95,8,7.6,5,FALSE,TRUE,91.02
GD0085,Male,Mobile,25-30,"Mobile Games","PUBG Mobile",1.1,Good,7.6,Sometimes,Often,Low,Good,,5,9.5,1,FALSE,FALSE,24.99
GD0086,Male,Multi-platform,19-24,"Battle Royale",Warzone,3,Good,8.8,Rarely,Rarely,Low,Good,2.4,5,7.1,2,FALSE,FALSE,34.92
GD0087,Male,Multi-platform,13-18,MMO,"Final Fantasy XIV",7.5,Poor,4.8,Never,Often,High,Poor,1.29,,7.9,5,TRUE,FALSE,123.8
GD0088,Male,Multi-platform,13-18,FPS,"Call of Duty",6.1,Fair,6.7,Often,Sometimes,Moderate,Average,3.06,,5.6,4,TRUE,TRUE,71.69
GD0089,Female,PC,13-18,Strategy,"StarCraft II",5.9,Fair,6.5,Rarely,Never,Moderate,Average,2.46,,7.4,4,TRUE,FALSE,96.37
GD0090,Female,Mobile,19-24,"Mobile Games","Candy Crush",8.1,"Very Poor",3.1,Sometimes,Sometimes,Moderate,Failing,3.21,6,6.8,5,TRUE,FALSE,67.48
GD0091,Male,PC,19-24,MMO,"World of Warcraft",10.3,Fair,5.8,Rarely,Sometimes,Moderate,"Below Average",1.5,1,3.6,8,FALSE,TRUE,499.27
GD0092,Female,Multi-platform,13-18,Strategy,"Civilization VI",8.9,Fair,5.9,Never,Never,High,Good,3.26,,5.3,5,TRUE,TRUE,254.42
GD0093,Female,Mobile,25-30,"Mobile Games","Clash of Clans",5.9,Fair,6.1,Always,Sometimes,Moderate,Good,,10,5.2,5,FALSE,FALSE,83.67
GD0094,Female,PC,19-24,Strategy,"StarCraft II",4.9,Fair,6.1,Always,Rarely,Low,Failing,3.53,5,9.1,2,TRUE,FALSE,56.37
GD0095,Male,Multi-platform,19-24,RPG,Skyrim,1.7,Good,7.3,Rarely,Never,Low,Average,1.41,7,10.8,1,FALSE,FALSE,24.1
GD0096,Male,Mobile,19-24,"Mobile Games","Candy Crush",7,Poor,4.9,Often,Daily,High,Failing,3.92,4,4.6,6,TRUE,TRUE,115.12
GD0097,Male,Mobile,19-24,MOBA,"Mobile Legends",3.2,Good,7.3,Often,Rarely,Low,Average,2.05,9,9.1,2,FALSE,FALSE,15.77
GD0098,Male,Multi-platform,19-24,RPG,"Cyberpunk 2077",10.4,Fair,5.6,Often,Rarely,Severe,Poor,,10,3.7,5,FALSE,FALSE,197.03
GD0099,Male,Mobile,31+,MOBA,"Mobile Legends",5.1,Fair,6.5,Often,Often,Low,Average,,1,7.4,2,TRUE,FALSE,72.27
GD0100,Female,Mobile,25-30,"Mobile Games","Candy Crush",6.3,Fair,6.3,Often,Daily,Low,Average,,10,8,2,TRUE,FALSE,21.12
GD0101,Male,PC,19-24,FPS,Valorant,5.4,Fair,6.6,Rarely,Rarely,Low,Failing,3.51,4,5.7,1,TRUE,FALSE,33.12
GD0102,Male,Multi-platform,19-24,RPG,"Elden Ring",6.1,Poor,5.5,Always,Rarely,Low,Average,3.22,7,8.1,5,TRUE,FALSE,110.19
GD0103,Female,Multi-platform,19-24,MMO,"Elder Scrolls Online",7.1,Poor,5,Rarely,Sometimes,High,Good,2.66,1,5.3,4,FALSE,TRUE,112.86
GD0104,Female,Multi-platform,19-24,RPG,"Elden Ring",8,"Very Poor",3.4,Never,Often,High,Poor,2.53,6,6.6,4,TRUE,TRUE,26.81
GD0105,Female,Multi-platform,19-24,"Battle Royale",Warzone,4.8,Fair,6.6,Often,Rarely,Low,"Below Average",1.08,5,6.1,2,FALSE,FALSE,48.19
GD0106,Female,Multi-platform,13-18,"Battle Royale",Warzone,9.8,Poor,5,Always,Daily,Severe,Poor,3.66,,6.8,7,FALSE,FALSE,114.88
GD0107,Female,PC,13-18,FPS,Valorant,2.9,Good,7.9,Never,Daily,Low,Excellent,1.37,,9.4,3,FALSE,FALSE,24.6
GD0108,Female,Multi-platform,19-24,"Battle Royale",PUBG,6.8,"Very Poor",3.7,Never,Rarely,Moderate,Failing,2.96,7,6.4,4,TRUE,TRUE,127
GD0109,Male,Multi-platform,19-24,"Battle Royale",Fortnite,4.6,Poor,5.3,Sometimes,Daily,Low,Excellent,2.21,4,6.8,2,FALSE,FALSE,85.23
GD0110,Male,Multi-platform,25-30,RPG,"Cyberpunk 2077",12,Poor,4.4,Never,Sometimes,Severe,Failing,,2,5.2,9,TRUE,TRUE,326.96
GD0111,Female,Multi-platform,13-18,"Battle Royale",Fortnite,5.4,Fair,6.7,Rarely,Rarely,Low,"Below Average",2.85,,7.9,3,TRUE,FALSE,147.65
GD0112,Female,PC,31+,MOBA,"League of Legends",5.5,Fair,6.8,Rarely,Never,Moderate,Good,,8,6.4,4,TRUE,TRUE,126.15
GD0113,Male,PC,13-18,Strategy,"Age of Empires",3.6,Fair,6.9,Often,Often,Low,"Below Average",3.82,,9.9,1,FALSE,FALSE,40.4
GD0114,Female,Multi-platform,19-24,"Mobile Games","Genshin Impact",9.2,Fair,5.8,Often,Daily,High,"Below Average",2.98,6,7,6,TRUE,TRUE,177.45
GD0115,Male,Multi-platform,19-24,"Mobile Games","Genshin Impact",3.2,Good,8.4,Rarely,Daily,Low,Excellent,,9,10,3,FALSE,FALSE,49.01
GD0116,Female,PC,19-24,MMO,"World of Warcraft",8.4,Poor,4.2,Always,Never,High,Failing,2.57,3,5.6,6,TRUE,FALSE,82.28
GD0117,Male,Multi-platform,13-18,"Battle Royale","Apex Legends",13,Poor,5.4,Sometimes,Sometimes,Severe,"Below Average",2.6,,4,9,FALSE,TRUE,224.87
GD0118,Male,Multi-platform,13-18,RPG,Skyrim,5.7,Poor,5.5,Never,Daily,Moderate,"Below Average",1.32,,7.7,4,TRUE,TRUE,61.16
GD0119,Other,PC,13-18,MMO,"World of Warcraft",0.9,Good,8,Sometimes,Sometimes,Low,Good,1.75,,10.8,1,FALSE,FALSE,35.37
GD0120,Male,Mobile,19-24,"Mobile Games","Clash of Clans",4.8,Fair,6.3,Sometimes,Often,Low,Average,2.86,6,6.9,4,TRUE,FALSE,29.59
GD0121,Male,Multi-platform,19-24,"Battle Royale",Fortnite,11.8,"Very Poor",3.8,Often,Sometimes,High,Poor,,6,5.4,8,TRUE,TRUE,391.88
GD0122,Male,Multi-platform,13-18,FPS,Overwatch,6,Fair,6.7,Sometimes,Often,Moderate,Excellent,3.71,,7.6,5,TRUE,TRUE,147.47
GD0123,Male,Mobile,13-18,MOBA,"Mobile Legends",2.6,Good,7.3,Often,Never,Low,Good,1.1,,7.8,2,FALSE,FALSE,37.3
GD0124,Female,Multi-platform,13-18,RPG,Skyrim,7.7,Fair,5.6,Never,Never,High,Poor,1.96,,6.5,5,TRUE,TRUE,25.58
GD0125,Female,Multi-platform,19-24,MMO,"Final Fantasy XIV",10,Poor,5.5,Always,Sometimes,Severe,Poor,2.19,4,3.6,6,FALSE,FALSE,358.72
GD0126,Male,Mobile,19-24,"Mobile Games","Clash of Clans",5,Fair,6.7,Always,Sometimes,Low,Good,1.11,10,8.9,3,TRUE,FALSE,143.86
GD0127,Male,Multi-platform,19-24,"Battle Royale",Warzone,5.6,Poor,5.1,Rarely,Daily,Low,"Below Average",1.69,4,8.3,5,FALSE,FALSE,44.63
GD0128,Female,PC,19-24,MMO,"World of Warcraft",4.3,Fair,6.7,Sometimes,Never,Low,Average,3.31,8,9.6,2,FALSE,FALSE,48
GD0129,Male,PC,31+,MOBA,"League of Legends",3.1,Good,7.6,Always,Daily,Low,"Below Average",,9,7.8,3,FALSE,FALSE,27.92
GD0130,Female,Mobile,13-18,"Mobile Games","Clash of Clans",3.6,Fair,6.3,Never,Often,Low,"Below Average",1.74,,6,2,FALSE,FALSE,13.53
GD0131,Female,Multi-platform,19-24,RPG,"Cyberpunk 2077",6.9,Poor,4.9,Often,Daily,Low,Good,3.11,10,6.9,4,TRUE,TRUE,22.1
GD0132,Male,Mobile,13-18,"Mobile Games","Clash of Clans",5.2,Fair,5.7,Sometimes,Never,Low,Average,1.03,,9.1,2,TRUE,FALSE,20.36
GD0133,Male,Multi-platform,13-18,"Battle Royale",PUBG,4,Poor,5.1,Always,Daily,Low,Average,1.42,,6.4,2,FALSE,FALSE,27.46
GD0134,Male,Multi-platform,25-30,RPG,"Elden Ring",8.3,Poor,5.4,Often,Never,High,Average,,4,7.6,5,TRUE,FALSE,49.13
GD0135,Female,Multi-platform,13-18,Strategy,"Civilization VI",3.6,Poor,5.5,Always,Daily,Low,Good,4,,9.8,3,FALSE,FALSE,20.78
GD0136,Male,Multi-platform,19-24,MMO,"Final Fantasy XIV",7.9,Poor,4.6,Often,Rarely,High,Average,,2,5.3,5,TRUE,TRUE,30.7
GD0137,Male,Multi-platform,19-24,RPG,"Cyberpunk 2077",8,"Very Poor",3.4,Often,Often,Severe,"Below Average",2.1,4,4.1,7,TRUE,FALSE,104.41
GD0138,Male,Mobile,19-24,"Mobile Games","Clash of Clans",9.3,Poor,4.8,Always,Sometimes,Severe,"Below Average",3.59,2,4,7,TRUE,TRUE,113.26
GD0139,Male,Multi-platform,19-24,RPG,"Elden Ring",10.2,Poor,5.1,Never,Daily,Moderate,Poor,3.47,7,3,7,FALSE,TRUE,314.14
GD0140,Male,PC,19-24,MOBA,"Dota 2",7.2,Poor,4.6,Sometimes,Never,High,Poor,,1,7.5,5,TRUE,TRUE,83.77
GD0141,Male,PC,13-18,MOBA,"League of Legends",7,Poor,4.7,Never,Never,Moderate,Average,1.91,,6.3,4,TRUE,TRUE,80.95
GD0142,Male,Mobile,19-24,"Mobile Games","Clash of Clans",8.2,"Very Poor",3.7,Often,Often,Moderate,Poor,1.78,8,4,4,TRUE,TRUE,52.5
GD0143,Male,PC,19-24,FPS,CS:GO,4.4,Poor,5.2,Often,Never,Low,Good,1.85,7,9.3,3,FALSE,FALSE,21.43
GD0144,Male,PC,19-24,MOBA,"League of Legends",5.8,Fair,6,Sometimes,Daily,Moderate,Good,1.08,5,6,5,FALSE,TRUE,111.06
GD0145,Male,Multi-platform,19-24,"Battle Royale",PUBG,9.7,Poor,4.5,Never,Sometimes,High,"Below Average",3.37,8,3.7,8,FALSE,FALSE,276.24
GD0146,Other,PC,13-18,MOBA,"League of Legends",3.2,Good,7.2,Never,Often,Low,Average,2.58,,7.6,1,FALSE,FALSE,39.13
GD0147,Male,Multi-platform,13-18,Strategy,"Civilization VI",8.9,"Very Poor",3.5,Always,Never,High,Good,1.34,,4.9,5,TRUE,TRUE,342.1
GD0148,Female,Multi-platform,25-30,MMO,"Final Fantasy XIV",6.6,Poor,5.2,Rarely,Never,Moderate,Poor,,7,6.5,5,TRUE,TRUE,11.24
GD0149,Male,Multi-platform,13-18,RPG,"Cyberpunk 2077",3.9,Fair,6.5,Never,Often,Low,"Below Average",2.73,,9.4,3,FALSE,FALSE,23.79
GD0150,Male,PC,19-24,Strategy,"StarCraft II",10.4,Poor,5.1,Often,Sometimes,Severe,Failing,1.76,3,5.6,8,FALSE,TRUE,412.09
GD0151,Male,PC,19-24,MOBA,"League of Legends",5.3,Fair,6.4,Rarely,Never,Low,Average,1.43,8,7.9,4,TRUE,FALSE,39.82
GD0152,Male,PC,13-18,MOBA,"League of Legends",4.8,Poor,5.3,Never,Daily,Low,Excellent,1.61,,7.5,4,TRUE,FALSE,69.97
GD0153,Female,Mobile,13-18,MOBA,"Mobile Legends",6.4,Poor,5.4,Rarely,Often,Low,"Below Average",3.34,,8.3,3,FALSE,FALSE,34.14
GD0154,Male,Multi-platform,13-18,RPG,"Elden Ring",10.6,Poor,4.1,Often,Often,Severe,Poor,1.06,,6.2,8,FALSE,TRUE,247.77
GD0155,Male,Multi-platform,13-18,FPS,"Call of Duty",6.7,Poor,5.3,Often,Never,Low,Average,1.21,,8.1,4,TRUE,TRUE,34.13
GD0156,Male,Multi-platform,19-24,"Battle Royale",Fortnite,6.9,Poor,4.7,Always,Sometimes,Moderate,"Below Average",3.29,2,8,4,FALSE,FALSE,59.03
GD0157,Female,Multi-platform,13-18,FPS,"Call of Duty",2.2,Good,7.7,Sometimes,Sometimes,Low,Excellent,1.45,,8.6,1,FALSE,FALSE,31.73
GD0158,Male,Mobile,19-24,MOBA,"Mobile Legends",9,Poor,5.3,Sometimes,Never,High,Poor,1.11,2,7.2,5,FALSE,TRUE,168.77
GD0159,Other,Multi-platform,25-30,RPG,"Cyberpunk 2077",4.7,Fair,7,Never,Never,Low,Average,,1,7.4,4,TRUE,FALSE,110.14
GD0160,Male,Mobile,13-18,MOBA,"Mobile Legends",10.4,Poor,4.7,Never,Daily,Severe,Poor,3.55,,6.6,6,TRUE,TRUE,326.87
GD0161,Male,PC,19-24,MOBA,"Dota 2",12.2,Fair,5.9,Often,Sometimes,Severe,"Below Average",3.72,10,4.7,7,FALSE,TRUE,473.21
GD0162,Male,PC,25-30,Strategy,"StarCraft II",4.3,Poor,5.3,Rarely,Daily,Low,Good,,5,7.9,2,FALSE,FALSE,44.35
GD0163,Female,Mobile,19-24,MOBA,"Mobile Legends",6.3,Poor,5.5,Sometimes,Never,Low,"Below Average",3.98,4,9,2,TRUE,TRUE,53.06
GD0164,Male,Multi-platform,13-18,Strategy,"Civilization VI",7.7,Fair,5.6,Sometimes,Daily,High,"Below Average",3.22,,4.8,7,TRUE,TRUE,110.52
